"X1","X2","X3","X4"
"AAPL","http://www.google.com/finance?q=AAPL","Apple Inc.","4.136831"
"MSFT","http://www.google.com/finance?q=MSFT","Microsoft Corporation","2.109615"
"XOM","http://www.google.com/finance?q=XOM","Exxon Mobil Corporation","1.954187"
"JNJ","http://www.google.com/finance?q=JNJ","Johnson & Johnson","1.497311"
"GE","http://www.google.com/finance?q=GE","General Electric Company","1.448362"
"WFC","http://www.google.com/finance?q=WFC","Wells Fargo & Company","1.379934"
"BRK.B","http://www.google.com/finance?q=BRK.B","Berkshire Hathaway Inc. Class B","1.377516"
"JPM","http://www.google.com/finance?q=JPM","JPMorgan Chase & Co.","1.245885"
"PG","http://www.google.com/finance?q=PG","Procter & Gamble Company","1.164134"
"PFE","http://www.google.com/finance?q=PFE","Pfizer Inc.","1.135348"
"VZ","http://www.google.com/finance?q=VZ","Verizon Communications Inc.","1.114085"
"CVX","http://www.google.com/finance?q=CVX","Chevron Corporation","1.104286"
"T","http://www.google.com/finance?q=T","AT&T Inc.","0.947233"
"DIS","http://www.google.com/finance?q=DIS","Walt Disney Company","0.922097"
"FB","http://www.google.com/finance?q=FB","Facebook Inc. Class A","0.920497"
"AMZN","http://www.google.com/finance?q=AMZN","Amazon.com Inc.","0.893931"
"BAC","http://www.google.com/finance?q=BAC","Bank of America Corporation","0.876308"
"MRK","http://www.google.com/finance?q=MRK","Merck & Co. Inc.","0.867674"
"GOOGL","http://www.google.com/finance?q=GOOGL","Google Inc. Class A","0.865455"
"KO","http://www.google.com/finance?q=KO","Coca-Cola Company","0.859016"
"C","http://www.google.com/finance?q=C","Citigroup Inc.","0.857587"
"GOOG","http://www.google.com/finance?q=GOOG","Google Inc. Class C","0.853233"
"IBM","http://www.google.com/finance?q=IBM","International Business Machines Corporation","0.840054"
"INTC","http://www.google.com/finance?q=INTC","Intel Corporation","0.824243"
"GILD","http://www.google.com/finance?q=GILD","Gilead Sciences Inc.","0.820928"
"CMCSA","http://www.google.com/finance?q=CMCSA","Comcast Corporation Class A","0.801123"
"CSCO","http://www.google.com/finance?q=CSCO","Cisco Systems Inc.","0.789925"
"HD","http://www.google.com/finance?q=HD","Home Depot Inc.","0.784920"
"PEP","http://www.google.com/finance?q=PEP","PepsiCo Inc.","0.749966"
"ORCL","http://www.google.com/finance?q=ORCL","Oracle Corporation","0.748530"
"V","http://www.google.com/finance?q=V","Visa Inc. Class A","0.696932"
"PM","http://www.google.com/finance?q=PM","Philip Morris International Inc.","0.681998"
"WMT","http://www.google.com/finance?q=WMT","Wal-Mart Stores Inc.","0.670405"
"AMGN","http://www.google.com/finance?q=AMGN","Amgen Inc.","0.660721"
"SLB","http://www.google.com/finance?q=SLB","Schlumberger NV","0.630459"
"QCOM","http://www.google.com/finance?q=QCOM","QUALCOMM Incorporated","0.611435"
"CVS","http://www.google.com/finance?q=CVS","CVS Health Corporation","0.609942"
"ACT","http://www.google.com/finance?q=ACT","Actavis Plc","0.593929"
"UNH","http://www.google.com/finance?q=UNH","UnitedHealth Group Incorporated","0.593527"
"MDT","http://www.google.com/finance?q=MDT","Medtronic Plc","0.581415"
"BMY","http://www.google.com/finance?q=BMY","Bristol-Myers Squibb Company","0.579807"
"ABBV","http://www.google.com/finance?q=ABBV","AbbVie Inc.","0.553938"
"MO","http://www.google.com/finance?q=MO","Altria Group Inc.","0.543039"
"MMM","http://www.google.com/finance?q=MMM","3M Company","0.536880"
"BA","http://www.google.com/finance?q=BA","Boeing Company","0.518460"
"UTX","http://www.google.com/finance?q=UTX","United Technologies Corporation","0.512183"
"UNP","http://www.google.com/finance?q=UNP","Union Pacific Corporation","0.507276"
"MCD","http://www.google.com/finance?q=MCD","McDonald's Corporation","0.496286"
"CELG","http://www.google.com/finance?q=CELG","Celgene Corporation","0.491693"
"BIIB","http://www.google.com/finance?q=BIIB","Biogen Inc.","0.489083"
"MA","http://www.google.com/finance?q=MA","MasterCard Incorporated Class A","0.470489"
"COP","http://www.google.com/finance?q=COP","ConocoPhillips","0.441377"
"HON","http://www.google.com/finance?q=HON","Honeywell International Inc.","0.429201"
"GS","http://www.google.com/finance?q=GS","Goldman Sachs Group Inc.","0.425546"
"AIG","http://www.google.com/finance?q=AIG","American International Group Inc.","0.418905"
"SBUX","http://www.google.com/finance?q=SBUX","Starbucks Corporation","0.408368"
"USB","http://www.google.com/finance?q=USB","U.S. Bancorp","0.407406"
"KMI","http://www.google.com/finance?q=KMI","Kinder Morgan Inc Class P","0.402393"
"WBA","http://www.google.com/finance?q=WBA","Walgreens Boots Alliance Inc","0.400917"
"ABT","http://www.google.com/finance?q=ABT","Abbott Laboratories","0.383638"
